device_id,device_type
D0001,desktop
D0002,desktop
D0003,desktop
D0004,desktop
D0005,desktop
D0006,mobile
D0007,desktop
D0008,mobile
D0009,tablet
D0010,tablet
D0011,mobile
D0012,desktop
D0013,mobile
D0014,tablet
D0015,mobile
D0016,tablet
D0017,mobile
D0018,mobile
D0019,mobile
D0020,mobile
D0021,mobile
D0022,tablet
D0023,mobile
D0024,mobile
D0025,mobile
D0026,desktop
D0027,tablet
D0028,mobile
D0029,tablet
D0030,mobile
D0031,desktop
D0032,tablet
D0033,desktop
D0034,desktop
D0035,mobile
D0036,tablet
D0037,tablet
D0038,tablet
D0039,tablet
D0040,mobile
D0041,mobile
D0042,desktop
D0043,mobile
D0044,tablet
D0045,mobile
D0046,desktop
D0047,tablet
D0048,tablet
D0049,desktop
D0050,desktop
D0051,tablet
D0052,mobile
D0053,mobile
D0054,tablet
D0055,tablet
D0056,tablet
D0057,mobile
D0058,mobile
D0059,tablet
D0060,desktop
D0061,tablet
D0062,tablet
D0063,mobile
D0064,tablet
D0065,mobile
D0066,desktop
D0067,tablet
D0068,desktop
D0069,tablet
D0070,desktop
D0071,mobile
D0072,tablet
D0073,tablet
D0074,desktop
D0075,mobile
D0076,desktop
D0077,desktop
D0078,mobile
D0079,desktop
D0080,desktop
D0081,tablet
D0082,desktop
D0083,tablet
D0084,mobile
D0085,desktop
D0086,mobile
D0087,tablet
D0088,tablet
D0089,tablet
D0090,desktop
D0091,tablet
D0092,tablet
D0093,desktop
D0094,desktop
D0095,desktop
D0096,tablet
D0097,tablet
D0098,desktop
D0099,desktop
D0100,mobile
D0101,mobile
D0102,desktop
D0103,desktop
D0104,mobile
D0105,desktop
D0106,tablet
D0107,tablet
D0108,tablet
D0109,desktop
D0110,desktop
D0111,mobile
D0112,desktop
D0113,desktop
D0114,mobile
D0115,desktop
D0116,mobile
D0117,desktop
D0118,desktop
D0119,desktop
D0120,desktop
D0121,tablet
D0122,tablet
D0123,desktop
D0124,tablet
D0125,mobile
D0126,tablet
D0127,mobile
D0128,mobile
D0129,mobile
D0130,tablet
D0131,desktop
D0132,desktop
D0133,tablet
D0134,mobile
D0135,tablet
D0136,desktop
D0137,tablet
D0138,tablet
D0139,desktop
D0140,desktop
D0141,mobile
D0142,mobile
D0143,desktop
D0144,mobile
D0145,desktop
D0146,tablet
D0147,mobile
D0148,desktop
D0149,tablet
D0150,tablet
D0151,desktop
D0152,desktop
D0153,tablet
D0154,tablet
D0155,desktop
D0156,desktop
D0157,tablet
D0158,tablet
D0159,desktop
D0160,desktop
D0161,tablet
D0162,desktop
D0163,desktop
D0164,desktop
D0165,desktop
D0166,mobile
D0167,mobile
D0168,tablet
D0169,mobile
D0170,desktop
D0171,mobile
D0172,tablet
D0173,tablet
D0174,tablet
D0175,mobile
D0176,mobile
D0177,mobile
D0178,tablet
D0179,desktop
D0180,desktop
D0181,tablet
D0182,tablet
D0183,tablet
D0184,tablet
D0185,desktop
D0186,mobile
D0187,mobile
D0188,desktop
D0189,mobile
D0190,desktop
D0191,mobile
D0192,desktop
D0193,mobile
D0194,tablet
D0195,tablet
D0196,mobile
D0197,desktop
D0198,mobile
D0199,mobile
D0200,tablet
D0201,desktop
D0202,tablet
D0203,mobile
D0204,tablet
D0205,desktop
D0206,mobile
D0207,mobile
D0208,tablet
D0209,desktop
D0210,desktop
D0211,desktop
D0212,desktop
D0213,desktop
D0214,mobile
D0215,mobile
D0216,desktop
D0217,desktop
D0218,mobile
D0219,mobile
D0220,desktop
D0221,desktop
D0222,mobile
D0223,tablet
D0224,tablet
D0225,tablet
D0226,mobile
D0227,mobile
D0228,mobile
D0229,tablet
D0230,desktop
D0231,mobile
D0232,mobile
D0233,mobile
D0234,tablet
D0235,desktop
D0236,tablet
D0237,tablet
D0238,tablet
D0239,mobile
D0240,tablet
D0241,desktop
D0242,desktop
D0243,desktop
D0244,desktop
D0245,tablet
D0246,desktop
D0247,desktop
D0248,tablet
D0249,tablet
D0250,mobile
D0251,tablet
D0252,tablet
D0253,mobile
D0254,mobile
D0255,tablet
D0256,mobile
D0257,desktop
D0258,tablet
D0259,mobile
D0260,mobile
D0261,mobile
D0262,mobile
D0263,tablet
D0264,mobile
D0265,mobile
D0266,mobile
D0267,desktop
D0268,desktop
D0269,tablet
D0270,tablet
D0271,desktop
