user_id,risk_score,risk_level,ml_prediction,ml_suspicious_probability,ml_risk_level,final_risk_score,final_risk_level,connected_devices,connected_merchants,shared_device_users,risk_reasons
U0082,85.88,HIGH,1,100.0,HIGH,92.94,HIGH,D0024,M024,"U0079, U0080, U0081, U0083, U0084",Very high transaction velocity; Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0064,76.71,HIGH,1,100.0,HIGH,88.35,HIGH,D0021,M021,"U0061, U0062, U0063, U0065, U0066",Very high transaction velocity; Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0076,75.69,HIGH,1,99.96,HIGH,87.82,HIGH,D0023,M023,"U0073, U0074, U0075, U0077, U0078",Very high transaction velocity; Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0066,75.49,HIGH,1,100.0,HIGH,87.74,HIGH,D0021,M021,"U0061, U0062, U0063, U0064, U0065",Very high transaction velocity; Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0071,70.64,HIGH,1,100.0,HIGH,85.32,HIGH,D0022,M022,"U0067, U0068, U0069, U0070, U0072",High transaction velocity; Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0061,70.57,HIGH,1,100.0,HIGH,85.28,HIGH,D0021,M021,"U0062, U0063, U0064, U0065, U0066",High transaction velocity; Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0083,70.3,HIGH,1,100.0,HIGH,85.15,HIGH,D0024,M024,"U0079, U0080, U0081, U0082, U0084",High transaction velocity; Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0080,69.68,MEDIUM,1,100.0,HIGH,84.84,HIGH,D0024,M024,"U0079, U0081, U0082, U0083, U0084",High transaction velocity; Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0086,67.38,MEDIUM,1,100.0,HIGH,83.69,HIGH,D0025,M025,"U0085, U0087, U0088, U0089, U0090",High transaction velocity; Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0072,67.21,MEDIUM,1,100.0,HIGH,83.6,HIGH,D0022,M022,"U0067, U0068, U0069, U0070, U0071",High transaction velocity; Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0067,67.27,MEDIUM,1,99.34,HIGH,83.3,HIGH,D0022,M022,"U0068, U0069, U0070, U0071, U0072",High transaction velocity; Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0062,66.47,MEDIUM,1,100.0,HIGH,83.24,HIGH,D0021,M021,"U0061, U0063, U0064, U0065, U0066",High transaction velocity; Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0090,66.25,MEDIUM,1,100.0,HIGH,83.12,HIGH,D0025,M025,"U0085, U0086, U0087, U0088, U0089",High transaction velocity; Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0088,65.84,MEDIUM,1,99.44,HIGH,82.64,HIGH,D0025,M025,"U0085, U0086, U0087, U0089, U0090",Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0070,65.07,MEDIUM,1,100.0,HIGH,82.54,HIGH,D0022,M022,"U0067, U0068, U0069, U0071, U0072",Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0079,65.29,MEDIUM,1,99.44,HIGH,82.36,HIGH,D0024,M024,"U0080, U0081, U0082, U0083, U0084",Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0073,64.66,MEDIUM,1,100.0,HIGH,82.33,HIGH,D0023,M023,"U0074, U0075, U0076, U0077, U0078",Multiple users sharing the same device; Device connected to many users; High merchant concentration
U0075,64.61,MEDIUM,1,100.0,HIGH,82.3,HIGH,D0023,M023,"U0073, U0074, U0076, U0077, U0078",Multiple users sharing the same device; Device connected to many users; High merchant concentration
