merchant_id,category
M001,services
M002,gaming
M003,travel
M004,food
M005,services
M006,services
M007,travel
M008,gaming
M009,electronics
M010,gaming
M011,electronics
M012,fashion
M013,services
M014,services
M015,food
M016,fashion
M017,services
M018,electronics
M019,travel
M020,electronics
M021,services
M022,services
M023,electronics
M024,travel
M025,fashion
M026,services
M027,food
M028,electronics
M029,electronics
M030,food
M031,electronics
M032,food
M033,food
M034,food
M035,travel
M036,fashion
M037,fashion
M038,gaming
M039,travel
M040,gaming
M041,services
M042,fashion
M043,fashion
M044,fashion
M045,electronics
M046,gaming
M047,travel
M048,gaming
M049,services
M050,fashion
M051,travel
M052,gaming
M053,fashion
M054,fashion
M055,travel
M056,services
M057,food
M058,travel
M059,food
M060,services
M061,electronics
M062,travel
M063,food
M064,services
M065,gaming
M066,fashion
M067,electronics
M068,travel
M069,food
M070,gaming
M071,food
M072,services
M073,travel
M074,services
M075,food
M076,travel
M077,food
M078,fashion
M079,travel
M080,travel
M081,electronics
M082,fashion
M083,travel
M084,gaming
M085,food
M086,gaming
M087,food
M088,services
M089,food
M090,electronics
M091,services
M092,travel
M093,food
M094,electronics
M095,gaming
M096,services
M097,services
M098,electronics
M099,gaming
M100,services
