user_id,risk_score,risk_level,ml_prediction,ml_suspicious_probability,ml_risk_level,actual_suspicious,rule_prediction
U0001,30.0,LOW,1,97.5,HIGH,1,0
U0002,24.0,LOW,1,99.94,HIGH,1,0
U0003,1.33,LOW,0,0.0,LOW,0,0
U0004,24.0,LOW,1,99.91,HIGH,1,0
U0005,36.0,LOW,1,100.0,HIGH,1,0
U0006,36.0,LOW,1,99.96,HIGH,1,0
U0007,0.0,LOW,0,0.0,LOW,0,0
U0008,0.0,LOW,0,0.0,LOW,0,0
U0009,0.0,LOW,0,0.0,LOW,0,0
U0010,0.0,LOW,0,0.0,LOW,0,0
U0011,0.0,LOW,0,0.0,LOW,0,0
U0012,0.0,LOW,0,0.0,LOW,0,0
U0013,0.0,LOW,0,0.0,LOW,0,0
U0014,30.09,LOW,1,99.64,HIGH,1,0
U0015,36.06,LOW,1,99.75,HIGH,1,0
U0016,36.0,LOW,1,100.0,HIGH,1,0
U0017,0.0,LOW,0,0.0,LOW,0,0
U0018,0.0,LOW,0,0.0,LOW,0,0
U0019,0.0,LOW,0,0.0,LOW,0,0
U0020,0.0,LOW,0,0.0,LOW,0,0
U0021,0.0,LOW,0,0.0,LOW,0,0
U0022,0.0,LOW,0,0.0,LOW,0,0
U0023,0.0,LOW,0,0.0,LOW,0,0
U0024,0.0,LOW,0,0.0,LOW,0,0
U0025,24.67,LOW,1,99.94,HIGH,1,0
U0026,0.0,LOW,0,0.0,LOW,0,0
U0027,0.0,LOW,0,0.0,LOW,0,0
U0028,0.0,LOW,0,0.0,LOW,0,0
U0029,0.0,LOW,0,0.0,LOW,0,0
U0030,0.0,LOW,0,0.0,LOW,0,0
U0031,30.0,LOW,1,100.0,HIGH,1,0
U0032,0.0,LOW,0,0.0,LOW,0,0
U0033,0.0,LOW,0,0.0,LOW,0,0
U0034,0.0,LOW,0,0.0,LOW,0,0
U0035,0.0,LOW,0,0.0,LOW,0,0
U0036,0.0,LOW,0,0.0,LOW,0,0
U0037,0.0,LOW,0,0.0,LOW,0,0
U0038,0.0,LOW,0,0.0,LOW,0,0
U0039,7.67,LOW,0,0.0,LOW,0,0
U0040,0.0,LOW,0,0.0,LOW,0,0
U0041,0.0,LOW,0,0.0,LOW,0,0
U0042,30.0,LOW,1,100.0,HIGH,1,0
U0043,0.0,LOW,0,0.0,LOW,0,0
U0044,0.0,LOW,0,0.0,LOW,0,0
U0045,0.0,LOW,0,0.0,LOW,0,0
U0046,0.0,LOW,0,0.0,LOW,0,0
U0047,0.0,LOW,0,0.0,LOW,0,0
U0048,0.0,LOW,0,0.0,LOW,0,0
U0049,0.0,LOW,0,0.0,LOW,0,0
U0050,30.0,LOW,1,98.0,HIGH,1,0
U0051,32.68,LOW,1,98.83,HIGH,1,0
U0052,33.8,LOW,1,99.4,HIGH,1,0
U0053,35.32,LOW,1,99.43,HIGH,1,0
U0054,33.14,LOW,1,98.83,HIGH,1,0
U0055,33.76,LOW,1,98.28,HIGH,1,0
U0056,36.68,LOW,1,98.9,HIGH,1,0
U0057,34.35,LOW,1,98.79,HIGH,1,0
U0058,47.42,MEDIUM,1,100.0,HIGH,1,0
U0059,36.48,LOW,1,98.78,HIGH,1,0
U0060,32.02,LOW,1,99.43,HIGH,1,0
U0061,70.57,HIGH,1,100.0,HIGH,1,1
U0062,66.47,MEDIUM,1,100.0,HIGH,1,0
U0063,55.04,MEDIUM,1,99.65,HIGH,1,0
