transaction_id,user_id,device_id,merchant_id,timestamp,amount,location,is_suspicious
T00001,U0659,D0222,M055,2026-08-28 15:04:00,8039.13,Chennai,0
T00002,U0802,D0173,M058,2026-08-31 00:00:00,6840.47,Chennai,0
T00003,U0794,D0125,M031,2026-08-15 01:26:00,7907.24,Bangalore,0
T00004,U0744,D0262,M042,2026-08-05 02:26:00,9105.32,Hyderabad,0
T00005,U0916,D0288,M048,2026-08-10 03:19:00,1408.38,Delhi,0
T00006,U0525,D0347,M090,2026-08-13 09:40:00,8321.68,Hyderabad,0
T00007,U0995,D0322,M063,2026-08-16 09:58:00,8061.9,Mumbai,0
T00008,U0228,D0148,M054,2026-08-19 02:04:00,9675.97,Delhi,0
T00009,U0525,D0122,M076,2026-08-01 15:12:00,2718.14,Bangalore,0
T00010,U0616,D0264,M059,2026-08-27 14:29:00,3872.15,Pune,0
T00011,U0531,D0131,M055,2026-08-22 10:58:00,347.74,Delhi,0
T00012,U0486,D0388,M054,2026-08-30 11:24:00,725.85,Mumbai,0
T00013,U0868,D0230,M078,2026-08-06 07:26:00,1483.79,Bangalore,0
T00014,U0462,D0328,M040,2026-08-05 10:09:00,2424.52,Delhi,0
T00015,U0289,D0274,M084,2026-08-17 21:14:00,6737.81,Pune,0
T00016,U0864,D0352,M079,2026-08-27 17:31:00,7448.46,Chennai,0
T00017,U0575,D0411,M038,2026-08-23 06:29:00,6194.96,Hyderabad,0
T00018,U0184,D0429,M073,2026-08-10 21:18:00,4489.49,Chennai,0
T00019,U0522,D0126,M073,2026-08-25 18:42:00,9026.79,Pune,0
T00020,U0518,D0107,M076,2026-08-13 13:20:00,1979.1,Bangalore,0
T00021,U0994,D0308,M037,2026-08-10 15:40:00,6452.87,Delhi,0
T00022,U0172,D0101,M068,2026-08-12 02:02:00,9889.33,Delhi,0
T00023,U0361,D0111,M096,2026-08-10 10:16:00,5905.19,Chennai,0
T00024,U0487,D0472,M044,2026-08-28 02:58:00,128.07,Chennai,0
T00025,U0284,D0352,M058,2026-08-08 22:35:00,1188.27,Bangalore,0
T00026,U0285,D0083,M071,2026-08-11 19:53:00,5929.64,Bangalore,0
T00027,U0329,D0211,M032,2026-08-06 18:27:00,7443.01,Delhi,0
T00028,U0267,D0457,M034,2026-08-22 16:11:00,4537.92,Hyderabad,0
T00029,U0676,D0379,M039,2026-08-21 13:42:00,5088.0,Delhi,0
T00030,U0195,D0448,M092,2026-08-14 17:27:00,4634.62,Bangalore,0
T00031,U0213,D0321,M077,2026-08-20 09:36:00,6892.37,Mumbai,0
T00032,U0880,D0303,M035,2026-08-04 16:14:00,3288.91,Chennai,0
T00033,U0218,D0140,M061,2026-08-29 09:55:00,6367.46,Delhi,0
T00034,U0880,D0242,M074,2026-08-28 04:30:00,5352.51,Mumbai,0
T00035,U0668,D0385,M081,2026-08-05 12:19:00,7951.65,Bangalore,0
T00036,U0821,D0409,M096,2026-08-10 18:51:00,4357.69,Chennai,0
T00037,U0574,D0249,M084,2026-08-19 03:31:00,4218.3,Bangalore,0
T00038,U0471,D0294,M066,2026-08-12 14:24:00,3805.58,Chennai,0
