user_id,account_age_days,transaction_count,transactions_per_hour,unique_merchant_count,merchant_concentration_ratio,unique_device_count,max_shared_device_users,max_users_on_device_in_window,is_suspicious
U0001,655,1.0,0.0,1.0,0.0,1.0,5.0,4.0,1.0
U0002,115,1.0,0.0,1.0,0.0,1.0,5.0,3.0,1.0
U0003,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U0004,760,1.0,0.0,1.0,0.0,1.0,5.0,3.0,1.0
U0005,282,1.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0
U0006,251,1.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0
U0007,229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U0008,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U0009,755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U0010,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U0011,693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U0012,759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U0013,914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U0014,559,2.0,0.316622691292876,2.0,0.0,2.0,5.0,4.0,1.0
U0015,90,2.0,0.19867549668874174,2.0,0.0,2.0,5.0,5.0,1.0
U0016,605,1.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0
U0017,433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U0018,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U0019,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U0020,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U0021,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U0022,239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U0023,518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U0024,617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U0025,28,1.0,0.0,1.0,0.0,1.0,5.0,3.0,1.0
