user_id,account_age_days,transaction_count,transactions_per_hour,unique_merchant_count,merchant_concentration_ratio,unique_device_count,max_shared_device_users,max_users_on_device_in_window,is_suspicious,velocity_score,short_window_device_score,merchant_score,account_age_score,shared_device_score,risk_score,risk_level,risk_reasons
U0001,655,1.0,0.0,1.0,0.0,1.0,5.0,4.0,1.0,0.0,0.6,0.0,0.0,0.8,30.0,LOW,No major risk indicators detected
U0002,115,1.0,0.0,1.0,0.0,1.0,5.0,3.0,1.0,0.0,0.4,0.0,0.0,0.8,24.0,LOW,No major risk indicators detected
U0003,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,1.33,LOW,Recently created account
U0004,760,1.0,0.0,1.0,0.0,1.0,5.0,3.0,1.0,0.0,0.4,0.0,0.0,0.8,24.0,LOW,No major risk indicators detected
U0005,282,1.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.8,0.0,0.0,0.8,36.0,LOW,No major risk indicators detected
U0006,251,1.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.8,0.0,0.0,0.8,36.0,LOW,No major risk indicators detected
U0007,229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,No major risk indicators detected
U0008,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,No major risk indicators detected
U0009,755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,No major risk indicators detected
U0010,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,No major risk indicators detected
U0011,693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,No major risk indicators detected
U0012,759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,No major risk indicators detected
U0013,914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,No major risk indicators detected
U0014,559,2.0,0.316622691292876,2.0,0.0,2.0,5.0,4.0,1.0,0.0031662269129287,0.6,0.0,0.0,0.8,30.09,LOW,No major risk indicators detected
