user_id,account_age_days
U0001,655
U0002,115
U0003,26
U0004,760
U0005,282
U0006,251
U0007,229
U0008,143
U0009,755
U0010,105
U0011,693
U0012,759
U0013,914
U0014,559
U0015,90
U0016,605
U0017,433
U0018,33
U0019,31
U0020,96
U0021,224
U0022,239
U0023,518
U0024,617
U0025,28
U0026,575
U0027,204
U0028,734
U0029,666
U0030,719
U0031,559
U0032,430
U0033,226
U0034,460
U0035,604
U0036,285
U0037,829
U0038,891
U0039,7
U0040,778
U0041,826
U0042,164
U0043,715
U0044,433
U0045,349
U0046,285
U0047,160
U0048,221
U0049,981
U0050,782
U0051,345
U0052,105
U0053,95
U0054,390
U0055,100
U0056,368
U0057,868
U0058,353
U0059,619
U0060,271
U0061,827
U0062,45
U0063,748
U0064,471
U0065,550
U0066,128
U0067,997
U0068,945
U0069,388
U0070,81
U0071,566
U0072,301
U0073,850
U0074,644
U0075,634
U0076,907
U0077,883
U0078,371
U0079,592
U0080,197
U0081,722
U0082,72
U0083,47
U0084,678
U0085,234
U0086,792
U0087,297
U0088,82
U0089,876
U0090,239
U0091,888
U0092,104
U0093,390
U0094,285
U0095,465
U0096,651
U0097,855
U0098,374
U0099,167
U0100,380
U0101,364
U0102,215
U0103,687
U0104,274
U0105,719
U0106,960
U0107,700
U0108,664
U0109,74
U0110,624
U0111,651
U0112,176
U0113,547
U0114,747
U0115,251
U0116,168
U0117,474
U0118,389
U0119,277
U0120,948
U0121,656
U0122,705
U0123,571
U0124,225
U0125,702
U0126,333
U0127,864
U0128,787
U0129,795
U0130,58
U0131,235
U0132,842
U0133,33
U0134,825
U0135,324
U0136,411
U0137,275
U0138,68
U0139,217
U0140,936
U0141,966
U0142,581
U0143,898
U0144,736
U0145,323
U0146,218
U0147,672
U0148,512
U0149,406
U0150,906
U0151,937
U0152,659
U0153,470
U0154,147
U0155,272
U0156,143
U0157,253
U0158,763
U0159,575
U0160,552
U0161,270
U0162,765
U0163,599
U0164,439
U0165,920
U0166,598
